Genotype,Region,Population,DW_Site,Longitude,Latitude,Altitude,Density_2012,DBH_14,DBH_16_Int,Area_Growth_2016_cm2_year,Area_Growth_2014_cm2_year,Height_m_13,X2010_61_Bud_Flush,X2010_245_Bud_Set,X2010_259_Bud_Set,X2010_274_Bud_Set,Volume_m3,Root_GE,Stem_GE,Leaf_Lifespan
BESC-243,WA/BC,Puyallup,Orting,-122.1972702,47.05088357,249.8,NA,140.191406,174.0155424,33.91111924,30.93504884,10.47916453,2.031119449,2.193360446,3.106783832,4.528297696,0.108356569,26.49844657,19.74600892,249.3049695
BESC-244,WA/BC,Puyallup,Orting,-122.1976275,47.05022156,249.8,0.387825912,146.5725738,189.726211,40.39101212,33.68443342,10.11165484,2.029953523,2.754877584,3.68126862,5.044003963,0.164797146,NA,NA,249.3058882
BESC-245,WA/BC,Puyallup,Orting,-122.1984227,47.04991663,249.8,0.40171625,140.486153,171.7614957,33.09338044,31.07799822,10.60880299,2.030219386,2.758446388,3.406693086,5.045435443,0.161529449,NA,NA,249.3063114
BESC-246,WA/BC,Puyallup,Orting,-122.1990668,47.04953684,249.8,NA,151.1288234,187.5628966,39.65363694,35.90150772,11.05321913,2.046505817,2.266452448,3.207647039,4.741300773,0.173258365,NA,NA,249.3068385
BESC-247,WA/BC,Puyallup,Orting,-122.1997513,47.04961664,249.8,NA,143.939585,181.2130436,36.86718324,32.58523983,8.637323125,2.920522121,1.90587565,3.155045152,4.562557436,0.131724786,28.10970857,17.4961408,249.3067277
BESC-248,WA/BC,Puyallup,Orting,-122.1993946,47.04944372,249.8,NA,162.106722,206.0433183,47.66530426,41.25856685,11.58355202,2.36264007,2.188040941,2.855988425,4.326662646,0.219053492,NA,NA,249.3069677
BESC-249,WA/BC,Skykomish,Monroe,-122.3014417,47.66362944,35.6,0.403614181,139.1338607,174.3112094,34.07277355,30.40872485,10.08714167,2.655193628,3.322854182,3.961067047,5.506310862,0.143488833,NA,NA,247.0984522
BESC-25,Columbia,Columbia,Willow Grove,-123.0309107,46.16699344,22.4,0.38793878,152.3824375,185.4128808,38.73072042,36.40705052,10.28806098,2.028924651,2.470774232,3.411207043,5.042090058,0.157877729,27.16955862,22.17339843,254.2439331
BESC-250,WA/BC,Skykomish,Monroe,-121.9889204,47.83943583,35.6,0.392666981,140.61339,180.044744,36.26155036,30.98227872,9.981667926,2.02999104,4.179157242,4.479191332,5.275594424,0.145356476,NA,NA,246.85447
BESC-251,WA/BC,Skykomish,Monroe,-121.9879034,47.8395194,35.6,0.419359483,133.1693663,161.0220857,29.04294789,27.84723176,10.23195044,2.497217381,3.8485627,4.294086749,5.360012331,0.125353063,NA,NA,246.854354
BESC-252,WA/BC,Skykomish,Monroe,-121.9871553,47.83962308,35.6,NA,127.9962156,157.7908923,27.98532473,25.64483763,9.381764319,2.04194901,2.656944303,3.205440452,4.740526764,0.114181752,NA,NA,246.8542101
BESC-253,WA/BC,Skykomish,Monroe,-121.986293,47.83966206,35.6,0.40472259,140.222093,170.958858,32.68806063,30.92926965,10.13432652,2.072227819,3.448801739,3.905848595,5.35471637,0.14088527,NA,NA,246.8541561
BESC-254,WA/BC,Skykomish,Monroe,-121.9856174,47.83968494,35.6,0.401406919,137.6410316,169.6677545,32.26638054,29.72832524,9.913045159,2.031299054,1.901143761,2.860204588,4.799572527,0.135396337,NA,NA,246.8541243
BESC-255,WA/BC,Skykomish,Monroe,-121.9847673,47.83969483,35.6,NA,165.6771534,209.527736,49.32730557,43.16070106,11.33493104,2.0303567,2.755217494,3.654398361,4.777470367,0.178399034,NA,NA,246.8541106
BESC-256,WA/BC,Skykomish,Monroe,-121.9836879,47.83998971,35.6,NA,134.1830883,165.8827578,30.75078021,28.31529748,9.361127747,2.026633269,4.175186406,4.759767096,5.50096128,0.126328608,NA,NA,246.8537013
BESC-257,WA/BC,Skykomish,Monroe,-121.9829818,47.84006741,35.6,NA,140.0105913,174.8081285,34.30531965,30.77535004,9.747458684,2.029118471,2.761126977,3.410333308,5.270711117,0.142980436,NA,NA,246.8535935
BESC-258,WA/BC,Skykomish,Monroe,-121.9826349,47.84115328,35.6,0.403934753,133.8584144,174.5121865,34.11545522,28.19228405,9.944891506,2.027221536,3.04142526,3.964013221,5.044912823,0.148393909,NA,NA,246.8520866
BESC-259,WA/BC,Skykomish,Monroe,-121.9819036,47.84124456,35.6,NA,138.5851178,172.6877688,33.43716648,30.14644809,10.6452991,2.029831671,4.177162721,4.477276194,5.744439312,0.154474697,23.04052276,14.63939855,246.8519599
BESC-26,Columbia,Columbia,Talley Way,-122.8883409,46.10617443,21.3,NA,128.1693459,156.4189649,27.47372845,25.79445121,9.737946102,3.255007241,3.321311377,3.962020006,5.279074337,0.119498446,27.19705115,13.98198307,255.328337
BESC-260,WA/BC,Skykomish,Monroe,-121.9812369,47.84101012,35.6,0.39841827,134.7151761,172.0108464,33.11092515,28.50157812,10.17757202,1.802226794,3.325766495,3.649475864,5.270235798,0.145672206,NA,NA,246.8522852
BESC-261,WA/BC,Skykomish,Monroe,-121.9808322,47.84141304,35.6,NA,145.3617377,181.1722287,36.81913282,33.14926753,11.16890187,2.030410824,3.322204332,3.687433195,5.044579685,0.160511935,NA,NA,246.8517261
BESC-262,WA/BC,Skykomish,Monroe,-121.9802434,47.841723,35.6,NA,162.5734124,210.2231473,49.62733195,41.54063032,11.01230919,2.657814868,3.038584078,3.682283376,5.275472598,0.206674025,NA,NA,246.8512959
BESC-263,WA/BC,Skykomish,Monroe,-121.9796352,47.84208669,35.6,0.416319437,148.5711676,183.8061163,37.93089252,34.64951101,9.63936451,2.044449081,3.608307494,4.221782514,5.507777956,0.142952853,NA,NA,246.8507912
BESC-264,WA/BC,Skykomish,Monroe,-121.9791277,47.84242532,35.6,0.393597136,138.4672377,167.8768538,31.60810485,30.06702765,10.15188181,1.43771482,3.893571447,4.216669025,5.738759376,0.131359336,NA,NA,246.8503212
BESC-265,WA/BC,Skykomish,Monroe,-121.9786357,47.84275892,35.6,NA,143.8126499,177.2315356,35.2569484,32.51357987,10.31786289,2.031109889,2.753779981,3.411063211,5.048627577,0.151799111,27.6315672,14.82514287,246.8498583
BESC-266,WA/BC,Skykomish,Monroe,-121.9749917,47.84489966,35.6,0.403706899,135.7391135,162.9326661,29.74356556,28.9927301,10.35684957,1.799080271,2.475294919,3.15511265,4.798996796,0.130356658,NA,NA,246.8468874
BESC-267,WA/BC,Skykomish,Monroe,-121.9745626,47.84526369,35.6,0.401046272,150.380366,190.0984674,40.44558222,35.50602966,9.727106937,2.029380898,2.471284378,2.857949047,4.801261827,0.1588104,NA,NA,246.8463822
BESC-268,WA/BC,Skykomish,Monroe,-121.9737406,47.84563517,35.6,0.402732959,134.4081586,177.780652,35.57717443,28.43699001,10.22418574,2.025665215,4.457676629,4.750088501,5.506421008,0.151390848,NA,NA,246.8458666
BESC-269,WA/BC,Skykomish,Startup,-121.9724149,47.8604921,145.5,0.383872347,134.4924408,169.0257736,32.12911327,28.3708993,10.30234196,2.026020597,4.176094561,4.214726649,5.271522902,0.144285458,23.70694973,18.28131089,246.8252483
BESC-27,Columbia,Columbia,Talley Way,-122.8874526,46.10528813,21.3,NA,144.0349774,175.7148667,34.68318864,32.56597394,10.83001739,2.363832467,2.469407514,3.151882979,4.800510138,0.150145552,NA,NA,255.329567
BESC-270,WA/BC,Skykomish,Startup,-121.7811716,47.86176564,145.5,0.413528614,129.5896882,158.9635192,28.34032695,26.3383229,9.57847834,2.030782797,4.4610786,4.727427906,5.74479277,0.120923083,NA,NA,246.8234809
BESC-271,WA/BC,Skykomish,Startup,-121.7791474,47.86185902,145.5,0.405078582,131.7126639,159.5258467,28.68177749,27.17777152,9.538692278,1.799171352,4.462107604,4.476981439,5.744089668,0.096986896,NA,NA,246.8233514
BESC-272,WA/BC,Skykomish,Startup,-121.776559,47.86198961,145.5,0.405981512,130.7478234,170.7783121,32.55081685,26.87261784,9.963547153,2.653227459,3.325790185,4.214625581,5.022693463,0.14406796,NA,NA,246.8231701
BESC-273,WA/BC,Skykomish,Startup,-121.7829514,47.86231248,145.5,0.407307162,146.1110104,190.0811593,40.56200291,33.57072916,10.83717795,3.556383008,3.603805548,4.477152756,5.273090602,0.176064155,NA,NA,246.822722
BESC-274,WA/BC,Skykomish,Startup,-121.7822834,47.86233611,145.5,NA,112.7359047,155.9296935,27.30909791,19.98284439,8.71727873,2.027276053,3.606368007,4.209410963,5.273253305,0.115723168,NA,NA,246.8226893
BESC-275,WA/BC,Skykomish,Startup,-121.7808568,47.86237182,145.5,NA,148.1729805,180.561898,36.62041962,34.44709552,11.04500299,2.920556444,2.473938605,3.414101108,4.56147894,0.158380311,24.95798004,14.14792737,246.8226397
BESC-276,WA/BC,Skykomish,Startup,-121.7799671,47.86237769,145.5,NA,147.0353584,195.1163353,42.66550779,33.95567901,10.42237969,2.363158714,2.474324463,3.410414733,4.799901866,0.175910896,29.17035338,20.02560527,246.8226315
BESC-277,WA/BC,Skykomish,Startup,-121.7785936,47.86251591,145.5,0.404050782,146.2457352,182.6205652,37.34689032,33.66187668,9.730421757,1.716270412,3.890304741,4.181650242,5.506464177,0.146388406,NA,NA,246.8224397
