Genotype,Region,Population,DW_Site,Longitude,Latitude,Altitude,Density_2012,DBH_14,DBH_16_Int,Area_Growth_2016_cm2_year,Area_Growth_2014_cm2_year,Height_m_13,X2010_61_Bud_Flush,X2010_245_Bud_Set,X2010_259_Bud_Set,X2010_274_Bud_Set,Volume_m3,Root_GE,Stem_GE,Leaf_Lifespan
BESC-348,WA/BC,Skagit,Skiou Island,-122.1568165,48.49477326,47.9,0.394114618,129.3495862,158.3068339,27.94084402,26.34120902,10.00897283,2.921201575,2.749999423,3.686431427,5.04378618,0.120684037,NA,NA,242.5888446
BESC-349,WA/BC,Skagit,Skiou Island,-122.1561341,48.49489546,47.9,NA,155.005378,199.5317915,44.58653967,37.68229386,9.88541796,2.027042962,2.477976648,3.152366479,4.800107058,0.19162286,NA,NA,242.588675
BESC-35,Columbia,Columbia,Talley Way,-122.8845245,46.1041797,21.3,0.402922899,142.5493874,173.2961789,33.71010192,31.9108031,10.78775143,2.02841284,2.191194918,3.154936837,5.047785224,0.146995026,NA,NA,255.3311053
BESC-350,WA/BC,Skagit,Skiou Island,-122.1554234,48.49494626,47.9,0.416061785,127.3421419,157.2030893,27.617966,25.53639413,9.471612689,2.922053142,2.184272954,3.106168843,5.247475679,0.125202923,22.38369788,14.30792455,242.5886045
BESC-351,WA/BC,Skagit,Skiou Island,-122.1543214,48.49472313,47.9,NA,140.2329865,169.8711412,32.26056552,30.83448343,10.27825405,2.030966873,1.905690975,2.579079018,4.298566546,0.132712719,27.1367383,15.69504944,242.5889142
BESC-352,WA/BC,Skagit,Skiou Island,-122.153819,48.49448215,47.9,0.402404706,114.6871166,140.0782376,22.06057815,20.62570591,8.264130806,2.030092683,2.187138523,3.334725167,4.802794524,0.097418686,NA,NA,242.5892486
BESC-353,WA/BC,Skagit,Skiou Island,-122.1530465,48.49457134,47.9,NA,137.2199012,169.8120518,32.3325479,29.66116139,10.4446006,2.657075512,3.038927284,3.681430631,5.044281779,0.149103069,NA,NA,242.5891248
BESC-354,WA/BC,Skagit,Skiou Island,-122.1525869,48.49409332,47.9,0.4027873,140.6140881,173.7608831,34.01297411,31.08305437,10.29307281,2.030994512,3.037919553,3.409640746,4.802690032,0.15301576,32.22243292,14.339415,242.5897882
BESC-355,WA/BC,Skagit,Skiou Island,-122.1532955,48.49367548,47.9,0.395619143,144.6980115,182.5054372,37.37050008,32.83308045,10.5185769,2.365424132,2.471283389,3.152453144,4.802583664,0.17470634,NA,NA,242.5903681
BESC-356,WA/BC,Skagit,Skiou Island,-122.1536854,48.4932252,47.9,NA,140.1219986,175.5605368,34.64207522,30.95806495,10.31705518,2.368145553,2.756503234,3.414232263,4.804138425,0.151278569,NA,NA,242.590993
BESC-357,WA/BC,Skagit,Skiou Island,-122.153878,48.49269798,47.9,0.407193416,127.2362241,159.8244845,28.67927745,25.56044613,9.862614171,2.659921855,3.32886997,4.216922212,5.506926209,0.126878039,NA,NA,242.5917247
BESC-358,WA/BC,Skagit,Skiou Island,-122.154515,48.49425266,47.9,NA,147.3005458,182.4033031,37.34028042,34.092884,10.91230655,2.031835844,2.1906956,3.109192706,4.298743023,0.167638902,22.98801215,15.86419107,242.5895671
BESC-359,WA/BC,Skagit,Skiou Island,-122.1552965,48.49450009,47.9,NA,126.5567304,150.6354539,25.4831217,25.20240047,9.699445859,1.799381865,3.887965378,4.475923365,5.741537698,0.106090039,NA,NA,242.5892237
BESC-36,Columbia,Columbia,Talley Way,-122.884318,46.10368651,21.3,0.415986331,126.2696752,158.5614786,28.3259757,25.03790826,9.728071935,2.886274741,3.037086737,3.41165427,5.274641946,0.128762252,23.5755888,10.04682125,255.3317897
BESC-360,WA/BC,Skagit,Skiou Island,-122.1561052,48.4945275,47.9,NA,135.549278,167.4497222,31.40435576,28.7985621,9.464129881,3.019993858,2.184275461,3.15332557,4.801199896,0.125678498,NA,NA,242.5891857
BESC-361,WA/BC,Skagit,Skiou Island,-122.1567928,48.49428124,47.9,0.404343343,138.0096585,168.7065606,31.89703937,29.8849865,10.17492115,2.887719353,3.057081826,3.207867534,5.063749105,0.136124571,NA,NA,242.5895274
BESC-362,WA/BC,Skagit,Skiou Island,-122.1573184,48.49414394,47.9,0.406865428,138.2465539,179.7931166,36.29931467,30.05455833,10.06321683,2.027773938,2.182879708,2.858236376,4.562997758,0.14921346,NA,NA,242.589718
BESC-363,WA/BC,Skagit,Skiou Island,-122.158153,48.49405057,47.9,0.405818648,149.1328583,186.4683481,38.9644642,34.87175336,10.77559201,2.923204922,3.319874584,3.964653309,5.047572233,0.162991339,NA,NA,242.5898476
BESC-364,WA/BC,Skagit,Skiou Island,-122.1587002,48.49371579,47.9,NA,139.5413411,172.9134696,33.54524106,30.60452602,10.30360835,2.886934911,3.454091851,4.298502038,5.063959131,0.149497334,NA,NA,242.5903122
BESC-365,WA/BC,Skagit,Skiou Island,-122.1591599,48.49350776,47.9,NA,123.9023157,157.3994287,27.91216676,24.03072447,9.058210117,2.887588609,3.055083447,3.570730417,5.02347047,0.121062606,NA,NA,242.5906009
BESC-366,WA/BC,Skagit,Skiou Island,-122.1595394,48.49299847,47.9,0.404585174,125.3012188,153.8250696,26.54316623,24.64355213,10.04447343,2.027384348,2.752031892,3.155620117,5.046849444,0.130319936,NA,NA,242.5913077
BESC-367,WA/BC,Skagit,Skiou Island,-122.1598678,48.49263562,47.9,0.396880714,139.3462466,187.0543011,39.32599286,30.42104555,10.46612788,2.502398484,2.660247933,3.564511391,4.738104319,0.170188904,NA,NA,242.5918112
BESC-368,WA/BC,Skagit,Skiou Island,-122.1599125,48.49219993,47.9,0.402472711,125.2850753,151.5856202,25.77732012,24.59957553,9.870739181,2.042072481,3.061403246,3.95251318,5.669311388,0.120546618,NA,NA,242.5924159
BESC-369,WA/BC,Skagit,Skiou Island,-122.1599961,48.49175703,47.9,0.399838166,147.1688026,178.4948625,35.77053238,34.11631059,10.37834639,2.919783626,1.906588074,2.857521908,4.327890721,0.154725872,NA,NA,242.5930305
BESC-37,Columbia,Columbia,Talley Way,-122.8835434,46.10329248,21.3,NA,148.1442064,183.1729291,37.54333274,34.58596129,10.70995677,3.836216893,3.32640264,3.964906411,5.506761747,0.159060994,NA,NA,255.3323366
BESC-370,WA/BC,Skagit,Skiou Island,-122.1597433,48.49125168,47.9,0.405557447,138.0089251,170.7184812,32.69424078,29.90141055,10.1703467,2.042376643,1.860957862,2.809688963,4.386895337,0.142136299,NA,NA,242.5937318
BESC-371,WA/BC,Skagit,Skiou Island,-122.1594553,48.49054911,47.9,0.407802323,133.2529417,165.4739511,30.71983274,27.77557793,10.04207544,3.25426698,3.323118965,3.928517654,5.502829702,0.140640142,NA,NA,242.5947069
BESC-372,WA/BC,Skagit,Skiou Island,-122.1592763,48.49004628,47.9,NA,138.4346505,171.025382,32.81626305,30.08102913,10.26539745,2.028677363,2.473371935,3.154748694,5.048158328,0.144859834,NA,NA,242.5954047
BESC-373,WA/BC,Skagit,Skiou Island,-122.1596161,48.48978711,47.9,0.402364133,151.6849924,191.3980764,40.9709949,36.13341983,10.49212602,2.918121668,3.040875462,3.413269049,5.048517035,0.161083548,26.12357832,12.72957716,242.5957643
BESC-374,WA/BC,Skagit,Skiou Island,-122.1597259,48.48934849,47.9,NA,139.4916481,172.9318156,33.58750215,30.49169241,10.70643117,2.658280128,4.456729164,4.976774207,5.50544513,0.149895278,NA,NA,242.5963731
BESC-375,WA/BC,Skagit,Skiou Island,-122.1587264,48.49007947,47.9,NA,156.9471376,199.6422744,44.75887121,38.67219453,10.02852129,3.557641959,2.756162999,3.685937192,5.025130155,0.179816636,NA,NA,242.5953586
BESC-376,WA/BC,Skagit,Skiou Island,-122.1586202,48.49050561,47.9,0.384337481,140.7942807,173.9416694,33.9693527,31.15015904,10.11467107,2.040999836,3.450650242,3.568976525,5.358922876,0.150502958,NA,NA,242.5947672
BESC-377,WA/BC,Skagit,Skiou Island,-122.1580772,48.49092378,47.9,0.404525968,148.0417301,188.3100858,39.77270055,34.45071715,10.75604501,2.921164616,3.318682047,4.216027483,5.503868674,0.172930152,27.16833801,13.09713126,242.5941869
BESC-378,WA/BC,Skagit,Skiou Island,-122.1595001,48.49172685,47.9,NA,158.2808801,198.5317127,44.3206913,39.39083869,10.36838824,2.027939895,2.470410626,3.416059875,5.024112388,0.197393599,22.20208771,16.67052221,242.5930724
BESC-379,WA/BC,Skagit,Skiou Island,-122.1587578,48.49315614,47.9,NA,154.4559637,195.8666661,43.11785339,37.45481861,10.86620756,2.502099917,2.658996255,3.565725087,5.061082042,0.196564996,NA,NA,242.5910888
BESC-38,Columbia,Columbia,Talley Way,-122.8824537,46.10348945,21.3,NA,140.9073291,175.4162026,34.51134946,31.12396456,9.781720175,2.923240641,3.043536224,3.679928241,4.801055004,0.146045924,NA,NA,255.3320632
BESC-380,WA/BC,Skagit,Skiou Island,-122.1581165,48.49367078,47.9,NA,141.2872985,171.2605559,32.9098671,31.3435395,10.54179492,2.361532084,2.756096153,3.689679074,5.048710573,0.142279386,NA,NA,242.5903746
BESC-381,WA/BC,Skagit,Skiou Island,-122.1569404,48.49365586,47.9,0.420213033,126.9523513,153.3947135,26.35141427,25.30472431,10.04431986,1.532494895,2.192393107,3.153924873,5.047472252,0.1208188,20.77452741,13.81035012,242.5903953
BESC-382,WA/BC,Skagit,Skiou Island,-122.156857,48.49318069,47.9,NA,137.447868,169.3100281,32.13996235,29.72245346,10.23068861,3.25576191,3.035692786,3.407939119,5.044359534,0.140436516,NA,NA,242.5910548
BESC-383,WA/BC,Skagit,Skiou Island,-122.156811,48.49276034,47.9,0.402870075,146.2228844,178.5156825,35.69789897,33.56623537,10.84774217,2.029229045,2.473480311,2.859314382,4.561599966,0.153741927,NA,NA,242.5916381
BESC-384,WA/BC,Skagit,Skiou Island,-122.1565139,48.49390531,47.9,0.418915495,137.5172041,167.7696291,31.55255961,29.71560555,10.79088671,2.030129616,2.756004369,3.683400314,5.271628776,0.137555308,NA,NA,242.5900492
BESC-385,WA/BC,Skagit,Skiou Island,-122.1574602,48.49358277,47.9,NA,136.3655366,169.7705147,32.31127559,29.22833975,11.03769121,2.031695724,2.190571135,2.857148297,4.80023675,0.159701474,NA,NA,242.5904968
BESC-386,WA/BC,Skagit,Skiou Island,-122.1576241,48.4930905,47.9,0.408281222,158.9370725,196.6633191,43.27720259,39.74094778,10.8930983,2.028418085,3.035922557,3.679299155,5.045997017,0.183341471,NA,NA,242.5911799
BESC-387,WA/BC,Skagit,Skiou Island,-122.1573175,48.49267066,47.9,NA,143.3468597,177.9643841,35.53791002,32.27707434,10.76079475,2.028921876,2.754079286,3.68244123,5.019631537,0.162145418,NA,NA,242.5917626
BESC-388,WA/BC,Skagit,Utopia Rd,-122.1094353,48.51506492,73.2,NA,130.5698978,161.9766856,29.26669377,26.87089365,9.699194495,1.795198163,3.033562171,3.961375269,5.275022411,0.130271597,19.13720867,15.70772717,242.5606841
BESC-389,WA/BC,Skagit,Utopia Rd,-122.1119995,48.51495948,73.2,NA,145.9862295,181.2551515,36.8966203,33.3608352,10.59942655,2.919877512,3.328386822,3.683623173,5.044527645,0.155960785,NA,NA,242.5608304
BESC-39,Columbia,Columbia,Talley Way,-122.8815617,46.10339834,21.3,0.392980789,113.7950401,134.6961764,20.35920157,20.32048453,9.254026366,2.042450269,3.8918898,4.182561344,5.022479454,0.112987834,NA,NA,255.3321897
BESC-390,WA/BC,Skagit,Utopia Rd,-122.1128659,48.51509283,73.2,0.40618647,141.7864882,171.775287,33.18489895,31.56625538,10.72168585,2.365341467,2.190038779,3.151600467,4.559470906,0.157538679,NA,NA,242.5606453
BESC-391,WA/BC,Skagit,Utopia Rd,-122.1135739,48.5152432,73.2,NA,136.0549142,169.5757144,32.25273515,28.96358936,10.15509379,2.923246041,3.609028222,4.480709133,5.502136907,0.146531472,NA,NA,242.5604367
BESC-392,WA/BC,Skagit,Utopia Rd,-122.114648,48.51519275,73.2,NA,137.2269586,181.5603257,36.94362307,29.58498159,10.04389299,2.656730837,2.664379372,3.573219278,5.03273731,0.15407569,NA,NA,242.5605067
BESC-393,WA/BC,Skagit,Utopia Rd,-122.115229,48.51527388,73.2,0.41016838,136.5939694,165.4896284,30.7431151,29.26528083,9.94687804,2.364100409,3.038790923,3.684443918,5.044461224,0.143126049,20.14898448,13.55563138,242.5603941
BESC-394,WA/BC,Skagit,Utopia Rd,-122.1157907,48.51536315,73.2,0.4036748,139.0981051,171.2887918,32.8484155,30.36582023,10.14489314,2.500153805,3.050949965,3.945277108,5.357113499,0.145679306,14.62156048,12.61230963,242.5602702
BESC-395,WA/BC,Skagit,Utopia Rd,-122.1164215,48.51545552,73.2,NA,141.6353725,174.8898675,34.27778398,31.4869994,10.45397416,1.43950123,1.904366236,2.856127896,4.327406306,0.150966403,NA,NA,242.560142
BESC-396,WA/BC,Skagit,Utopia Rd,-122.1169146,48.51540213,73.2,NA,145.243199,181.6485847,37.03105949,33.12643467,11.06716911,2.499063353,3.842879726,4.632840956,5.359018693,0.170503031,NA,NA,242.5602161
BESC-397,WA/BC,Skagit,Utopia Rd,-122.11804,48.51541637,73.2,NA,130.4568265,162.4310323,29.60105289,26.77621285,9.93859681,2.028413146,2.754572388,3.414541483,4.80272522,0.129713986,NA,NA,242.5601963
BESC-398,WA/BC,Skagit,Lyman,-122.0752954,48.52453781,84.7,0.408648764,130.4859926,164.7218073,30.49322063,26.74825016,9.435340123,2.025985374,3.042529651,3.650774149,5.022375626,0.127589787,NA,NA,242.5475377
BESC-399,WA/BC,Skagit,Lyman,-122.0762749,48.52447512,84.7,NA,122.6603347,148.0839428,24.6170749,23.61664375,10.2494672,1.53303004,2.75534154,3.681680643,5.274133304,0.120975702,NA,NA,242.5476247
BESC-4,Columbia,Columbia,Willow Grove,-123.0500854,46.1698489,22.4,0.420599795,138.8354658,170.1867608,32.45499326,30.19564574,10.15462322,2.029848999,4.739384692,4.753007105,5.738219541,0.144586423,NA,NA,254.2399703
BESC-40,Columbia,Columbia,Talley Way,-122.880777,46.10329625,21.3,0.399551249,137.7400401,181.4368025,36.93567654,29.78283755,10.85730751,2.029538586,1.342403013,2.576650777,4.070799711,0.169158716,28.62089518,11.54615401,255.3323313
BESC-400,WA/BC,Skagit,Lyman,-122.0771781,48.5243146,84.7,0.399255737,116.4368959,140.1024996,22.10450354,21.3069786,9.034365014,2.03115923,3.042186006,3.415494503,5.045922263,0.108747378,NA,NA,242.5478475
BESC-401,WA/BC,Skagit,Lyman,-122.078595,48.52425467,84.7,NA,162.7682479,206.4597965,47.81743378,41.51703734,10.2323069,1.537849972,2.472002934,3.411811596,4.803350973,0.183093196,NA,NA,242.5479306
BESC-402,WA/BC,Skagit,Lyman,-122.0792049,48.52408561,84.7,NA,124.5812161,153.5501184,26.37970316,24.45687956,9.693683596,1.716729839,3.892761625,4.456851817,5.504455677,0.13022367,NA,NA,242.5481653
BESC-403,WA/BC,Skagit,Lyman,-122.0799103,48.5240271,84.7,0.393564562,135.6847158,177.8757055,35.32669324,28.99857418,10.25731178,2.043361984,2.65602463,3.566612922,4.741510442,0.155284538,NA,NA,242.5482465
BESC-404,WA/BC,Skagit,Lyman,-122.0822189,48.52375209,84.7,NA,150.1777688,185.2761003,38.5335965,35.36893131,10.06466488,2.027007397,3.608663613,4.216595564,5.273998139,0.158453869,NA,NA,242.5486281
BESC-405,WA/BC,Skagit,Lyman,-122.089363,48.52342403,84.7,NA,132.5697639,165.1228032,30.55961286,27.69839616,9.509971747,2.365869251,3.324759783,3.963140735,5.047395998,0.13193202,NA,NA,242.5490834
BESC-406,WA/BC,Skagit,Lyman,-122.0901421,48.52335487,84.7,NA,150.5233716,193.0084501,41.7996838,35.67375583,10.07505802,2.030194576,2.18579795,2.859090121,4.559502195,0.181363178,NA,NA,242.5491794
BESC-407,WA/BC,Skagit,Lyman,-122.0937826,48.52318497,84.7,0.400394163,133.1327746,159.2677469,28.53620404,27.87862635,9.885929444,2.657267643,2.471754947,2.861159179,4.297303643,0.120887303,NA,NA,242.5494152
BESC-408,WA/BC,Skagit,Lyman,-122.0956048,48.5229398,84.7,0.404842515,136.1956283,170.5587115,32.69120832,29.15478989,10.36688134,2.919846077,2.46892851,3.413019291,5.023886873,0.141307808,NA,NA,242.5497554
BESC-409,WA/BC,Skagit,Lyman,-122.0221735,48.50599042,84.7,0.402852874,141.5046544,173.2883993,33.70230954,31.48900597,10.35875956,1.534411954,3.035996866,3.410000717,5.046681213,0.149400674,NA,NA,242.5732776
BESC-41,Columbia,Columbia,Talley Way,-122.8813877,46.10243065,21.3,NA,143.5189044,175.4374609,34.49326054,32.29439775,10.98063723,2.657081208,3.896000304,4.483254165,5.507001696,0.147609664,NA,NA,255.3335326
BESC-410,WA/BC,Skagit,Lyman,-122.0226609,48.50673364,84.7,NA,136.6677468,173.9401894,33.90149598,29.35047876,8.909808675,2.031830503,3.323240722,3.929060269,5.025290501,0.126910006,NA,NA,242.5722461
BESC-411,WA/BC,Skagit,Lyman,-122.0239035,48.50767242,84.7,0.400276672,132.7229725,163.2989686,29.99320569,27.73337057,9.748495898,2.886295729,2.656042965,3.204606701,5.057842212,0.132074504,NA,NA,242.5709433
BESC-412,WA/BC,Skagit,Lyman,-122.0242951,48.50822437,84.7,0.401653799,145.3604257,179.6531875,36.09776025,33.19956683,10.29923723,2.030514013,2.188866567,2.858561018,4.562970293,0.142573344,NA,NA,242.5701773
BESC-413,WA/BC,Skagit,Lyman,-122.0246953,48.50796243,84.7,0.404587262,156.4505333,200.6856223,45.28027187,38.54280982,10.05546932,2.029927657,2.473504801,3.411186968,5.049082363,0.180610832,NA,NA,242.5705408
BESC-414,WA/BC,Skagit,Lyman,-122.0089507,48.52518364,84.7,NA,135.0610334,182.0061761,37.21022806,28.7114477,10.5935171,1.803636618,3.324136935,3.414906789,4.77825787,0.149490935,NA,NA,242.5466414
BESC-415,WA/BC,Skagit,Lyman,-122.0097908,48.52511642,84.7,0.408745281,137.3184075,165.38741,30.684008,29.53181837,9.942669274,1.796658268,2.757868547,3.412895119,5.045581623,0.137587806,NA,NA,242.5467347
BESC-416,WA/BC,Skagit,Lyman,-122.0106041,48.52504098,84.7,0.414107904,139.9380078,170.8208963,32.87584342,30.81216156,9.784441301,3.020762418,3.893069496,4.47849388,5.270482432,0.139274877,NA,NA,242.5468394
BESC-417,WA/BC,Skagit,Lyman,-122.0112923,48.52503218,84.7,NA,146.1176076,181.1155506,36.75835566,33.47781932,10.26243522,2.92015926,3.326537078,3.683629494,4.798247246,0.155439781,NA,NA,242.5468516
BESC-418,WA/BC,Skagit,Hamilton,-122.0118042,48.52500376,69.3,NA,134.2994187,168.3972747,31.86409191,28.34729986,9.755489808,2.040570135,3.848662874,4.217747713,5.358753143,0.136231741,NA,NA,242.5468911
BESC-419,WA/BC,Skagit,Hamilton,-122.0129451,48.52513972,69.3,NA,150.5776855,191.441061,41.08635637,35.70187705,10.37152095,1.302894714,3.054947337,3.570614443,5.362197311,0.162616691,23.56565587,NA,242.5467024
BESC-42,Columbia,Columbia,Talley Way,-122.8804939,46.10231071,21.3,0.396087909,125.1037886,155.6919892,27.321578,24.6066932,10.36510219,2.031496095,2.754782511,3.652490463,5.024843559,0.128174192,NA,NA,255.3336991
BESC-420,WA/BC,Skagit,Hamilton,-122.0134038,48.52483034,69.3,0.425774718,154.9906773,170.9197188,32.89572311,37.62755167,8.906963663,2.362688978,4.739834885,4.747227382,5.742540997,0.108456926,NA,NA,242.5471317
BESC-421,WA/BC,Skagit,Hamilton,-122.0139794,48.52426574,69.3,0.40049579,133.3515399,172.756104,33.54700067,27.86132368,9.579964429,2.029489674,3.319457629,3.684202932,5.270243098,0.128202693,NA,NA,242.5479153
BESC-422,WA/BC,Skagit,Hamilton,-122.0144567,48.52345286,69.3,NA,136.6085164,168.8175962,31.96184009,29.24750432,9.907034037,1.799825673,3.061394746,3.209890198,4.740031989,0.137931782,NA,NA,242.5490434
BESC-423,WA/BC,Skagit,Hamilton,-122.0149776,48.52308137,69.3,0.409163347,126.8480524,157.2125454,27.70512368,25.2056584,10.05140375,2.031302303,3.321084168,3.92825859,5.505974106,0.129390049,NA,NA,242.5495589
BESC-424,WA/BC,Skagit,Hamilton,-122.0146486,48.52446967,69.3,0.401966837,140.7781917,172.0889674,33.23799574,31.12524491,10.35021408,2.03951346,2.755617837,3.680005437,5.274915378,0.146197941,NA,NA,242.5476323
BESC-425,WA/BC,Skagit,Hamilton,-122.0160673,48.52486655,69.3,0.397111454,131.8666171,169.8091642,32.43258947,27.26542001,10.2856281,2.030091408,3.611472456,3.6500787,5.272222752,0.146722418,NA,NA,242.5470815
BESC-426,WA/BC,Skagit,Hamilton,-122.0163041,48.5264307,69.3,NA,123.5373096,151.0395786,25.61615212,24.01618031,9.595658141,2.765936042,3.88922522,4.729381156,5.507006504,0.130954713,NA,NA,242.5449108
BESC-427,WA/BC,Skagit,Hamilton,-122.0153105,48.52625476,69.3,NA,135.5780546,166.2916695,31.15655094,28.93419775,9.795805946,2.042016218,3.061841298,3.569585626,5.065148811,0.131804799,NA,NA,242.5451549
BESC-428,WA/BC,Skagit,Hamilton Island,-122.0136059,48.51850821,92.6,0.405768099,146.2484537,196.0999552,43.13761624,33.53429044,10.19144328,1.211423468,3.603408588,3.926572135,5.505768617,0.164040321,NA,NA,242.5559055
BESC-429,WA/BC,Skagit,Hamilton Island,-122.0132467,48.5182161,92.6,0.400771064,126.8715537,173.4662362,33.74491144,25.31384735,9.680353979,2.029029368,2.755119137,3.157371899,5.04482852,0.149028217,NA,NA,242.5563109
BESC-43,Columbia,Columbia,Talley Way,-122.8796948,46.10208197,21.3,0.402281149,141.4881414,170.835208,32.74433634,31.47505181,10.36981197,3.837212509,3.890001166,4.481507327,5.742473817,0.143599654,NA,NA,255.3340165
BESC-430,WA/BC,Skagit,Hamilton Island,-122.0129564,48.51789616,92.6,NA,132.6894065,162.8512348,29.79382352,27.62905123,10.29249249,2.659136364,2.755868286,3.677790678,5.047010487,0.128848357,NA,NA,242.5567549
BESC-431,WA/BC,Skagit,Hamilton Island,-122.012656,48.51753239,92.6,0.415053346,132.5628118,168.0047582,31.69318491,27.51592514,10.47818632,2.364000694,3.037049883,3.679504573,5.273329688,0.136623843,NA,NA,242.5572597
BESC-432,WA/BC,Skagit,Hamilton Island,-122.0121236,48.51720247,92.6,NA,136.4050578,167.7845053,31.59060838,29.23768274,10.42021639,2.029544818,2.475466263,3.153261713,4.803103213,0.138510514,NA,NA,242.5577176
BESC-433,WA/BC,Skagit,Hamilton Island,-122.0117274,48.51685538,92.6,0.40781015,147.5755221,183.9200151,37.97025006,34.33394346,10.26036676,1.798786732,3.610693294,4.450862451,5.276018861,0.153713425,NA,NA,242.5581993
BESC-434,WA/BC,Skagit,Hamilton Island,-122.0113089,48.51650728,92.6,NA,134.4084434,163.9262165,30.10565923,28.3335603,10.18932127,2.043043788,1.90354741,3.107358817,4.775900433,0.129415112,NA,NA,242.5586824
BESC-435,WA/BC,Skagit,Hamilton Island,-122.0108973,48.5162575,92.6,0.399549333,132.4432762,165.2683811,30.73074503,27.51351337,10.40939759,1.531634952,2.756801363,3.152027793,5.043719047,0.135424835,NA,NA,242.559029
BESC-436,WA/BC,Skagit,Hamilton Island,-122.0103467,48.51592742,92.6,NA,145.2220027,182.8715868,37.49963681,33.12778438,10.08390935,2.030302423,2.18892122,3.157568522,5.019137951,0.161075634,NA,NA,242.5594871
BESC-437,WA/BC,Skagit,Hamilton Island,-122.0099348,48.51562039,92.6,0.396592882,124.3395161,152.0551891,25.94498712,24.31042825,9.289182504,1.798245801,3.058506513,3.574490853,5.060112536,0.133524519,21.74220699,13.85316861,242.5599132
BESC-438,WA/BC,Skagit,Hamilton Island,-122.009479,48.5153199,92.6,NA,145.7321768,187.7056472,39.52961297,33.34596578,10.22005204,2.029571657,2.477429939,3.152221097,5.044912352,0.140928596,22.89572331,12.52438177,242.5603302
BESC-439,WA/BC,Skagit,Hamilton Island,-122.0089998,48.514878,92.6,0.399588871,137.7180735,170.4415053,32.56510112,29.74925391,9.776192159,1.533902856,3.040875879,3.959324803,5.04801925,0.139429682,NA,NA,242.5609435
BESC-44,Columbia,Columbia,Talley Way,-122.8788363,46.10195314,21.3,NA,139.0232753,172.3574334,33.34449667,30.29309362,9.976694889,2.922358222,5.028771513,5.006051026,5.74387801,0.13901848,NA,NA,255.3341953
BESC-440,WA/BC,Skagit,Hamilton Island,-122.0089667,48.51448171,92.6,NA,162.4891592,211.0733923,49.88705224,41.54083566,9.926577347,2.028591809,3.606519417,4.184028076,5.508288287,0.198338279,NA,NA,242.5614934
BESC-441,WA/BC,Skagit,Hamilton Island,-122.008899,48.51396136,92.6,0.402208104,140.6605972,173.774539,33.7479078,31.01744538,9.919023097,1.800175185,3.892803255,4.154534922,5.503159871,0.144319391,NA,NA,242.5622156
BESC-442,WA/BC,Skagit,Hamilton Island,-122.008445,48.51344294,92.6,0.404384583,141.950832,185.2526431,38.59520248,31.74567367,10.10179034,2.031232615,3.322563648,3.963740402,5.045261971,0.154148973,NA,NA,242.562935
BESC-443,WA/BC,Skagit,Hamilton Island,-122.0089924,48.52324507,92.6,0.404718742,152.2419014,164.7440238,30.40427984,36.29285726,9.132133711,2.030503265,3.889964147,4.725538729,5.74003939,0.117152346,NA,NA,242.5493318
BESC-444,WA/BC,Skagit,Hamilton Island,-122.0099938,48.52330693,92.6,0.400067963,128.2678287,158.4728172,28.06688022,25.84405423,10.34675212,2.029050436,3.890660482,4.181842528,5.506662341,0.126608372,NA,NA,242.5492459
BESC-445,WA/BC,Skagit,Hamilton Island,-122.0106462,48.52320844,92.6,0.397495747,140.6336136,167.8717314,31.62257116,30.87484576,9.564298381,2.028414247,3.89046852,4.21880292,5.272054525,0.122847162,NA,NA,242.5493826
BESC-446,WA/BC,Skagit,Hamilton Island,-122.0111906,48.52303569,92.6,NA,144.4479845,180.9324449,36.72872956,32.73915392,9.500009656,2.919684611,4.454719841,5.001556169,5.743841033,0.141989229,NA,NA,242.5496223
BESC-447,WA/BC,Skagit,Hamilton Island,-122.0119156,48.52291407,92.6,NA,120.6900255,NA,NA,22.84960328,11.11548434,2.042681591,3.057559464,3.572940594,5.059135539,0.172581633,NA,NA,242.5497911
BESC-448,WA/BC,Skagit,Hamilton Island,-122.0126148,48.52259036,92.6,NA,146.0048057,184.8026011,38.23799583,33.55583423,10.41509541,2.501863652,3.850071217,3.903926505,5.358336203,0.164147037,NA,NA,242.5502404
BESC-449,WA/BC,Skagit,Hamilton Island,-122.0131433,48.52206188,92.6,0.408125678,145.8726665,181.0066435,36.91238076,33.50653703,10.8796422,2.364775612,3.037449706,3.412569964,4.801914249,0.163640394,NA,NA,242.5509738
BESC-45,Columbia,Columbia,Talley Way,-122.8781377,46.10166647,21.3,NA,146.5954889,179.8846723,36.26268757,33.76443334,10.72065645,2.660593403,4.168231279,4.75263892,5.742827044,0.156341695,NA,NA,255.3345931
BESC-450,WA/BC,Skagit,Hamilton Island,-122.0134797,48.52162242,92.6,NA,136.4536599,168.9668954,32.00723652,29.18017736,10.19950277,1.795655129,2.754756632,3.683757802,4.80062731,0.150839988,NA,NA,242.5515836
BESC-451,WA/BC,Skagit,Hamilton Island,-122.0138131,48.52126359,92.6,NA,155.9489691,194.7462539,42.51996692,38.11908268,10.64503068,2.031467232,3.319786482,3.682697665,5.276265211,0.211588449,NA,NA,242.5520816
BESC-452,WA/BC,Skagit,Hamilton Island,-122.0138805,48.52069496,92.6,0.405415834,131.7922859,159.4184055,28.48954081,27.32572575,10.35620572,2.364901055,1.904280219,2.856494253,4.560335294,0.132691902,NA,NA,242.5528708
